corruption,magnitude,Hstar,H_mm,tip_collision_rate,body_collision_rate,off_object_rate
noise,0.5,0.5,0.2,14.254032258064516,32.279689780742984,0.0
noise,1.0,0.5,0.2,15.224150551768432,32.69632809865511,0.0
noise,2.0,0.5,0.2,27.605326891210268,28.22346721376154,0.0
scale,0.98,0.5,0.2,0.0,31.147540983606557,0.0
scale,0.95,0.5,0.2,64.28571428571429,30.357142857142854,0.0
scale,0.9,0.5,0.2,73.91304347826086,32.608695652173914,0.0
scale,0.8,0.5,0.2,82.75862068965517,13.793103448275861,0.0
scale,1.02,0.5,0.2,1.4705882352941175,32.35294117647059,0.0
scale,1.05,0.5,0.2,1.3333333333333335,33.33333333333333,0.0
scale,1.1,0.5,0.2,3.571428571428571,35.714285714285715,0.0
scale,1.2,0.5,0.2,35.77981651376147,35.77981651376147,0.0
combined,0.98,0.5,0.2,39.50354818467643,27.959120130508943,0.0
combined,0.95,0.5,0.2,44.667642593797446,27.84197883469522,0.0
combined,0.9,0.5,0.2,59.33505383505384,25.431096681096683,0.0
combined,0.8,0.5,0.2,82.53036108208521,22.79159410193893,0.0
combined,1.02,0.5,0.2,34.61576857136656,30.262315547109058,0.0
combined,1.05,0.5,0.2,29.36533995647295,30.63580967656169,0.0
combined,1.1,0.5,0.2,17.941694155531252,31.684383164917882,0.0
combined,1.2,0.5,0.2,14.11292411292411,34.075390075390075,1.5877240877240877
noise,0.5,1.0,0.4,0.0,32.279689780742984,0.0
noise,1.0,1.0,0.4,3.6820925553319923,32.69632809865511,0.0
noise,2.0,1.0,0.4,17.854380502056664,27.933612141297772,0.0
scale,0.98,1.0,0.4,0.0,31.147540983606557,0.0
scale,0.95,1.0,0.4,1.7857142857142856,30.357142857142854,0.0
scale,0.9,1.0,0.4,69.56521739130434,32.608695652173914,0.0
scale,0.8,1.0,0.4,82.75862068965517,13.793103448275861,0.0
scale,1.02,1.0,0.4,1.4705882352941175,32.35294117647059,0.0
scale,1.05,1.0,0.4,1.3333333333333335,33.33333333333333,0.0
scale,1.1,1.0,0.4,3.571428571428571,35.714285714285715,0.0
scale,1.2,1.0,0.4,5.5045871559633035,35.77981651376147,0.0
combined,0.98,1.0,0.4,33.791793837328875,27.959120130508943,0.0
combined,0.95,1.0,0.4,38.12784645413142,27.84197883469522,0.0
combined,0.9,1.0,0.4,50.081973581973585,25.431096681096683,0.0
combined,0.8,1.0,0.4,79.86369441541856,22.79159410193893,0.0
combined,1.02,1.0,0.4,28.32483343822566,30.262315547109058,0.0
combined,1.05,1.0,0.4,19.87570821890346,30.63580967656169,0.0
combined,1.1,1.0,0.4,9.733211874759812,31.454498107446614,0.0
combined,1.2,1.0,0.4,10.791795291795292,34.075390075390075,1.5877240877240877
noise,0.5,2.0,0.8,0.0,32.279689780742984,0.0
