corruption,magnitude,Hstar,H_mm,tip_collision_rate,body_collision_rate,off_object_rate
scale,0.8,2.0,0.8,75.81967213114754,51.63934426229508,0.0
scale,1.02,2.0,0.8,0.0,25.0,0.0
scale,1.05,2.0,0.8,0.0,20.766773162939298,0.0
scale,1.1,2.0,0.8,0.0,16.314779270633398,1.8234165067178503
scale,1.2,2.0,0.8,0.0,8.320251177394034,13.186813186813188
combined,0.98,2.0,0.8,35.03239280303906,31.728437158601622,0.0
combined,0.95,2.0,0.8,43.93549027580492,35.41241986943254,0.0
combined,0.9,2.0,0.8,56.77369105523267,41.454681508910426,0.0
combined,0.8,2.0,0.8,72.53401094517396,54.570641459924104,0.0
combined,1.02,2.0,0.8,25.115542643605256,28.59281209315297,0.0
combined,1.05,2.0,0.8,20.055900869785727,25.69215371483339,0.1045465760491667
combined,1.1,2.0,0.8,14.549193532982125,21.513685500461406,2.776410752362147
combined,1.2,2.0,0.8,9.097789192143207,13.949462212382835,13.704706326411326
noise,0.5,3.0,1.2000000000000002,0.0,18.80047571044516,0.0
noise,1.0,3.0,1.2000000000000002,1.143632847313948,21.259099472516056,0.0
noise,2.0,3.0,1.2000000000000002,14.684786230169166,22.12644303765192,0.0
scale,0.98,3.0,1.2000000000000002,0.0,22.613065326633166,0.0
scale,0.95,3.0,1.2000000000000002,6.308724832214765,26.308724832214764,0.0
scale,0.9,3.0,1.2000000000000002,25.038402457757297,31.95084485407066,0.0
scale,0.8,3.0,1.2000000000000002,59.42622950819673,44.26229508196721,0.0
scale,1.02,3.0,1.2000000000000002,0.0,18.004587155963304,0.0
scale,1.05,3.0,1.2000000000000002,0.0,15.015974440894569,0.0
scale,1.1,3.0,1.2000000000000002,0.0,11.228406909788866,1.8234165067178503
scale,1.2,3.0,1.2000000000000002,0.0,5.259026687598116,13.186813186813188
combined,0.98,3.0,1.2000000000000002,22.758061111031196,26.174011975586343,0.0
combined,0.95,3.0,1.2000000000000002,30.446977841733304,29.515665810498074,0.0
combined,0.9,3.0,1.2000000000000002,44.43894010300231,34.53094842269349,0.0
combined,0.8,3.0,1.2000000000000002,61.40706495469167,47.593419220916,0.0
combined,1.02,3.0,1.2000000000000002,16.008604119795724,23.080897161525638,0.0
combined,1.05,3.0,1.2000000000000002,12.056671550375057,20.635775986539194,0.1045465760491667
combined,1.1,3.0,1.2000000000000002,9.022396686980832,16.73235892155796,2.776410752362147
combined,1.2,3.0,1.2000000000000002,5.787545691999634,10.620403284127125,13.704706326411326
noise,0.5,5.0,2.0,0.0,7.998395449607632,0.0
noise,1.0,5.0,2.0,0.0,10.462340640487053,0.0
noise,2.0,5.0,2.0,4.2169961348867595,12.763710477266226,0.0
scale,0.98,5.0,2.0,0.0,9.42211055276382,0.0
scale,0.95,5.0,2.0,0.6711409395973155,12.61744966442953,0.0
scale,0.9,5.0,2.0,7.373271889400922,17.51152073732719,0.0
scale,0.8,5.0,2.0,28.48360655737705,30.942622950819672,0.0
scale,1.02,5.0,2.0,0.0,7.568807339449542,0.0
scale,1.05,5.0,2.0,0.0,6.602768903088392,0.0
scale,1.1,5.0,2.0,0.0,4.5105566218809985,1.8234165067178503
scale,1.2,5.0,2.0,0.0,1.9623233908948194,13.186813186813188
