corruption,magnitude,Hstar,H_mm,tip_collision_rate,body_collision_rate,off_object_rate
noise,2.0,3.0,1.2000000000000002,8.37564897652778,50.83786689007974,0.0
scale,0.98,3.0,1.2000000000000002,2.510460251046025,54.18410041841004,0.0
scale,0.95,3.0,1.2000000000000002,71.875,58.92857142857143,0.0
scale,0.9,3.0,1.2000000000000002,99.23469387755102,67.3469387755102,0.0
scale,0.8,3.0,1.2000000000000002,100.0,87.03071672354949,0.0
scale,1.02,3.0,1.2000000000000002,0.0,49.42965779467681,0.0
scale,1.05,3.0,1.2000000000000002,0.0,46.04569420035149,0.0
scale,1.1,3.0,1.2000000000000002,0.0,40.09508716323296,0.0
scale,1.2,3.0,1.2000000000000002,0.0,23.415265200517467,11.51358344113842
combined,0.98,3.0,1.2000000000000002,28.28210155577208,54.562290795147156,0.0
combined,0.95,3.0,1.2000000000000002,58.9629649348034,59.393750550398764,0.0
combined,0.9,3.0,1.2000000000000002,91.86109655860655,68.2055536785277,0.0
combined,0.8,3.0,1.2000000000000002,100.0,89.34898971838444,0.0
combined,1.02,3.0,1.2000000000000002,5.140993149079819,49.265009485726175,0.0
combined,1.05,3.0,1.2000000000000002,0.8034570736947166,45.274277705290736,0.0
combined,1.1,3.0,1.2000000000000002,0.0664451827242525,38.80105113981613,0.8381152875892063
combined,1.2,3.0,1.2000000000000002,0.0,22.201346464732737,11.35578151682617
noise,0.5,5.0,2.0,0.0,46.44282359961922,0.0
noise,1.0,5.0,2.0,0.0,47.11233656335229,0.0
noise,2.0,5.0,2.0,2.0515124263804787,45.34670278686241,0.0
scale,0.98,5.0,2.0,0.6276150627615062,48.11715481171548,0.0
scale,0.95,5.0,2.0,8.482142857142858,52.45535714285714,0.0
scale,0.9,5.0,2.0,97.44897959183673,58.92857142857143,0.0
scale,0.8,5.0,2.0,100.0,77.47440273037543,0.0
scale,1.02,5.0,2.0,0.0,43.72623574144487,0.0
scale,1.05,5.0,2.0,0.0,40.597539543058,0.0
scale,1.1,5.0,2.0,0.0,35.182250396196515,0.0
scale,1.2,5.0,2.0,0.0,20.69857697283312,11.51358344113842
combined,0.98,5.0,2.0,10.734388239041062,48.00615438428407,0.0
combined,0.95,5.0,2.0,30.75594828708612,52.29269027418461,0.0
combined,0.9,5.0,2.0,75.79763119007615,59.95391920819829,0.0
combined,0.8,5.0,2.0,99.40462630012533,81.15554014044115,0.0
combined,1.02,5.0,2.0,1.0079218918997923,43.60441296525743,0.0
